id,date,name
1,01/10/17 12:00 AM,Власти Петербурга согласились передать РПЦ Исаакиевский собор.
2,01/20/17 12:00 AM,Дональд Трамп вступил в должность президента США.
3,02/20/17 12:00 AM,Скоропостижно скончался постпред России при ООН Виталий Чуркин.
4,03/02/17 12:00 AM,Вышел фильм Навального «он Вам не димон»
5,03/14/17 12:00 AM,CNN показала фильм «Владимир Путин — самый влиятельный человек в мире».
6,03/21/17 12:00 AM,Умер Дэвид рокфеллер
7,03/22/17 12:00 AM,теракт произошел в центре Лондона
8,03/22/17 12:00 AM,Юлию Самойлову не пустили на евровидении в Киеве
9,03/23/17 12:00 AM,В центре Киева был убит бывший депутат Госдумы РФ от КПРФ Денис Вороненков
10,03/26/17 12:00 AM,Митинг в москве против коррупции
11,03/31/17 12:00 AM,SpaceX впервые в истории запустила и посадила уже летавшую ракету-носитель
12,04/01/17 12:00 AM,Умер Евгений Евтушенко
13,04/12/17 12:00 AM,Тиллерсон посещает Москву и встречается с Путиным
14,04/19/17 12:00 AM,Премьер Медведев выступает перед депутатами Госдумы с отчетом об итогах работы правительства за 2016 год
15,04/29/17 12:00 AM,Несанкционированные акции в Москве апрель
16,05/02/17 12:00 AM,Путин и Меркель в Сочи
17,05/05/17 12:00 AM,Чемпионат мира по хоккею
18,05/06/17 12:00 AM,Правительство внесло в Госдуму законопроект о курортных сборах
19,05/08/17 12:00 AM,Победа Макрона во Франции
20,05/14/17 12:00 AM,Митинг против Реновации в Москве
21,05/29/17 12:00 AM,Ураган в Москве
22,06/10/17 12:00 AM,Парламентские выборы в Великобритании
23,06/12/17 12:00 AM,Акции протеста 12 июня
24,06/15/17 12:00 AM,Горячая линия Президента Путина
25,06/17/17 12:00 AM,Кубок конфедерации FiFA
26,07/08/17 12:00 AM,Саммит G20
27,08/17/17 12:00 AM,Теракт в Барселоне
28,09/10/17 12:00 AM,Единый день голосования
